participant_id,device_family,country,latitude_round1,longitude_round1,age_years,sex_at_birth,light_rows,source_dominant_epoch_seconds,explicit_gap_rows,photopic_nonmissing_rows,melanopic_edi_nonmissing_rows,event_rows,travel_rows
ADID-00AAC11B7B6F,ActLumus,Ghana,6.7,-1.6,26,Male,3000,10,0,3000,3000,28,0
ADID-06F944B17851,ActLumus,United States of America,40.1,-75.2,41,Female,3000,10,46,2954,2954,37,0
ADID-08BEC12EE867,ActLumus,Spain,40.5,-3.7,46,Female,3000,10,0,3000,3000,47,1
ADID-0B2857D3F9E9,ActLumus,United States of America,29.5,-95.1,64,Female,3000,10,0,3000,3000,58,0
ADID-0E79F360D3E6,ActLumus,Norway,59.6,9.7,55,Female,3000,10,0,3000,3000,24,0
ADID-1448532FFC9A,ActLumus,Spain,40.5,-3.7,57,Male,3000,10,0,3000,3000,36,0
ADID-16DCBED051D0,ActLumus,United States of America,37.2,-121.5,54,Female,3000,10,0,3000,3000,36,0
ADID-16FC0455E7DB,ActLumus,Germany,51.5,7.5,40,Male,3000,10,0,3000,3000,9,0
ADID-1763770A1133,ActLumus,China,22,114,26,Female,3000,10,0,3000,3000,28,0
ADID-20CBF27B9932,ActLumus,United States of America,37.4,-122.1,29,Male,3000,10,0,3000,3000,17,0
ADID-3827BC74BBA3,ActLumus,Germany,48.5,9.1,28,Female,3000,10,0,3000,3000,55,0
ADID-49CDC2BBA873,ActLumus,Germany,51.5,7.2,35,Male,3000,10,0,3000,3000,25,0
ADID-4B0A6EE262FA,ActLumus,Germany,51.5,7.5,40,Male,3000,10,0,3000,3000,32,0
ADID-53ED6EC51129,ActLumus,Costa Rica,9.9,-84.2,43,Female,3000,10,0,3000,3000,17,0
ADID-567467DA59F0,ActLumus,Turkey,38.4,27.1,24,Female,3000,10,0,3000,3000,63,0
ADID-5C9557528334,ActLumus,Germany,51.5,7.4,41,Male,3000,10,0,3000,3000,16,0
ADID-63FEF8A3BDF6,ActLumus,Germany,48.1,11.6,22,Female,3000,60,0,3000,3000,23,0
ADID-65FE11BC73D8,ActLumus,Germany,51.5,7.5,70,Female,3000,10,0,3000,3000,80,0
ADID-7310E020E246,ActLumus,Turkey,38.3,26.6,24,Female,3000,10,0,3000,3000,28,0
ADID-78ACB0DBC3FD,ActLumus,Costa Rica,10.6,-85.4,23,Female,3000,10,0,3000,3000,66,0
ADID-7DE08D073801,ActLumus,United States of America,37.4,-122.1,22,Female,3000,10,0,3000,3000,19,0
ADID-7F89604AA824,ActLumus,Turkey,36.9,30.7,33,Male,3000,10,0,3000,3000,70,0
ADID-8773DC0F46EF,ActLumus,Costa Rica,9.8,-84,27,Male,3000,10,0,3000,3000,72,0
ADID-87C85C0AC224,ActLumus,United States of America,37.9,-122.3,35,Female,3000,10,0,3000,3000,38,0
ADID-899BCACAB0C8,ActLumus,Norway,59.7,9.7,42,Male,3000,10,0,3000,3000,75,0
ADID-901148D4123A,ActLumus,Germany,48.5,9.1,38,Female,3000,10,0,3000,3000,58,0
ADID-942AA2499637,ActLumus,United States of America,40,-75.3,50,Female,3000,10,0,3000,3000,59,0
ADID-959E0A543C6F,ActLumus,Ireland,53.4,-6.3,52,Female,3000,10,0,3000,3000,51,1
ADID-9AE2247E0211,ActLumus,Germany,48.5,9.1,41,Female,3000,10,0,3000,3000,75,0
ADID-A1E0827DB139,ActLumus,Australia,-37.8,145,33,Female,3000,60,0,3000,3000,22,0
ADID-A85538A2B71E,ActLumus,United Kingdom,51.2,-0.6,31,Female,3000,10,0,3000,3000,44,0
ADID-AFD2A442CAEB,ActLumus,Sweden,57.7,12.9,51,Female,3000,10,0,3000,3000,33,1
ADID-B77F26354C12,ActLumus,Malaysia,1.5,103.8,33,Female,3000,10,0,3000,3000,26,0
ADID-BD41F388369A,ActLumus,United States of America,37.7,-122.1,24,Female,3000,10,0,3000,3000,20,0
ADID-BF8DE840F243,ActLumus,Germany,52.5,13.6,36,Female,3000,10,0,3000,3000,30,0
ADID-C46FD69D4950,ActLumus,Germany,51.5,7.5,26,Male,3000,10,0,3000,3000,23,0
ADID-CCB318B39455,ActLumus,Netherlands,51.4,5.5,26,Female,3000,60,0,3000,3000,24,0
ADID-DC18278368C8,ActLumus,Germany,52.5,13.3,46,Male,3000,10,0,3000,3000,38,0
ADID-F0780C3A8354,ActTrust,Germany,51.3,7,56,Male,3000,10,0,3000,0,22,0
ADID-F191896209A5,ActLumus,Netherlands,51.4,5.5,41,Female,3000,60,0,3000,3000,45,0
ADID-F4620B9DBB2D,ActTrust,Germany,52.2,13.6,49,Male,3000,10,0,3000,0,20,0
ADID-F5DBCEA54368,ActLumus,Turkey,38.2,26.8,24,Male,3000,10,0,3000,3000,27,0
ADID-F80993FB3D08,ActLumus,Germany,51.3,7.5,53,Female,3000,10,0,3000,3000,20,0
ADID-FC51C959D7F5,ActLumus,Germany,48.5,9.1,24,Male,3000,10,0,3000,3000,30,0
ADID-FD49E2B33AB9,ActLumus,Switzerland,47.6,7.6,32,Female,3000,10,0,3000,3000,39,0
ADID-FE6FC04C7E63,ActLumus,United States of America,37.8,-122.4,41,Female,3000,10,0,3000,3000,31,0
ADID-FF7CB5F2C040,ActLumus,Germany,51.5,7.3,60,Male,3000,10,0,3000,3000,27,0
